27, 4144
2329, 11050488
4640, 11419932
6955, 11762296
9275, 12122036
11598, 12452648
13927, 12751564
16258, 13077176
18593, 13377808
20931, 13594976
23274, 13994264
25617, 14167968
27967, 14749200
30319, 15082732
32671, 15381744
35032, 15720908
37397, 16008936
39758, 16277004
42131, 16542348
44506, 16862024
46878, 17225404
49254, 17501156
51636, 17933324
54019, 18465564
56405, 18804652
58794, 19146048
61198, 19545544
63594, 19701192
66006, 20059820
68414, 20354524
70810, 20524796
73220, 20913984
75642, 21336356
78061, 21617052
80496, 22078928
82930, 22527468
85368, 22900520
87806, 23178468
90249, 23724500
92294, 22004
