35, 5332
2289, 6688200
4549, 7087156
6818, 7473536
9092, 7815140
11368, 8164460
13649, 8498964
15930, 8821188
18213, 9109160
20504, 9403352
22796, 9696480
25094, 10104440
27400, 10558168
29706, 10860888
32014, 11171732
34327, 11497676
36644, 11803020
38966, 12098444
41292, 12401432
43622, 12810100
45954, 13101012
48292, 13509316
50630, 14048284
52979, 14408292
55332, 14766212
57690, 15166092
60040, 15327588
62404, 15732268
64761, 15928696
67129, 16131228
69496, 16589752
71874, 16967136
74248, 17230484
76625, 17761800
79007, 18212564
81400, 18522968
83795, 18886184
86196, 19456992
